code_com,filiere,lambert_x,lambert_y
22182,Unité de méthanisation,"263004,23","6846522,64"
22182,Unité de méthanisation,"264776,89","6848044,49"
22183,Eolienne,"281977,00","6798622,00"
22183,Eolienne,"282433,00","6798298,00"
22183,Eolienne,"282893,00","6798085,00"
22183,Eolienne,"283366,00","6797940,00"
22183,Eolienne,"283877,00","6797952,00"
22183,Eolienne,"284283,00","6798104,00"
22183,Eolienne,"284736,00","6798200,00"
22183,Eolienne,"285201,00","6798332,00"
22183,Installation hydroélectrique,"285192,31","6800829,83"
22183,Installation solaire photovoltaïque,"283577,00","6802297,00"
22183,Installation solaire photovoltaïque,"284160,25","6800716,40"
22183,Installation solaire photovoltaïque,"285133,00","6800320,00"
22184,Eolienne,"278184,06","6816743,94"
22184,Eolienne,"278539,00","6816618,50"
22184,Eolienne,"278890,18","6816552,17"
22184,Eolienne,"279778,31","6816829,26"
22184,Eolienne,"280025,27","6817025,00"
22184,Eolienne,"280256,12","6817211,76"
22184,Installation solaire photovoltaïque,"281642,00","6819657,00"
22185,Chaufferie bois,"299448,00","6819725,00"
22185,Chaufferie bois,"299448,00","6819825,00"
22185,Installation solaire photovoltaïque,"301661,00","6817705,00"
22185,Unité de méthanisation,"295436,90","6822992,39"
22185,Unité de méthanisation,"302500,80","6821823,69"
22185,Unité de méthanisation,"302767,83","6820511,54"
22187,Installation fossile,"274720,52","6842904,35"
22187,Installation solaire photovoltaïque,"273057,00","6841887,00"
22187,Installation solaire photovoltaïque,"273579,00","6842559,00"
22187,Installation solaire photovoltaïque,"273614,20","6842904,35"
22187,Installation solaire photovoltaïque,"277032,00","6844240,00"
